"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2022-02-16","'91282CDR9'","NotesBonds",,,"2023-12-31",,,"0.75",,"7608155600",,"0.1196094509952486","0","7608155600",
"2022-02-16","'912828V23'","NotesBonds",,,"2023-12-31",,,"2.25",,"8896307400",,"0.2804327750305989","0","526000000",
"2022-02-16","'9128285U0'","NotesBonds",,,"2023-12-31",,,"2.625",,"15029000000",,"0.3665740417391366","0","4720000000",
"2022-02-16","'91282CBE0'","NotesBonds",,,"2024-01-15",,,"0.125",,"18850507000",,"0.2953206128270247","0","13020000000",
"2022-02-16","'91282CDV0'","NotesBonds",,,"2024-01-31",,,"0.875",,"8070986400",,"0.1300284434759209","0","8070986400",
"2022-02-16","'912828V80'","NotesBonds",,,"2024-01-31",,,"2.25",,"4895601300",,"0.1644160813756081","0","753000000",
"2022-02-16","'9128285Z9'","NotesBonds",,,"2024-01-31",,,"2.5",,"10640000000",,"0.2595119501679885","0","1657000000",
"2022-02-16","'91282CBM2'","NotesBonds",,,"2024-02-15",,,"0.125",,"21041170200",,"0.2662052494848244","0","0",
"2022-02-16","'912828B66'","NotesBonds",,,"2024-02-15",,,"2.75",,"18869000000",,"0.2859076971856893","0","16000000",
"2022-02-16","'912828W48'","NotesBonds",,,"2024-02-29",,,"2.125",,"8088237300",,"0.2537147805995382","0","667000000",
"2022-02-16","'9128286G0'","NotesBonds",,,"2024-02-29",,,"2.375",,"20435156300",,"0.4755329709386373","0","2704000000",
"2022-02-16","'91282CBR1'","NotesBonds",,,"2024-03-15",,,"0.25",,"5316550000",,"0.0863144967768564","0","5316550000",
"2022-02-16","'912828W71'","NotesBonds",,,"2024-03-31",,,"2.125",,"29164839400",,"0.4028860041705348","0","11500000000",
"2022-02-16","'91282CBV2'","NotesBonds",,,"2024-04-15",,,"0.375",,"26370972600",,"0.3941740821786119","0","26370972600",
"2022-02-16","'912828X70'","NotesBonds",,,"2024-04-30",,,"2",,"7353581100",,"0.2311095433765782","0","269000000",
"2022-02-16","'9128286R6'","NotesBonds",,,"2024-04-30",,,"2.25",,"6422453400",,"0.1546706845774171","0","2204000000",
"2022-02-16","'91282CCC3'","NotesBonds",,,"2024-05-15",,,"0.25",,"39174279500",,"0.4413045044264968","0","39174279500",
"2022-02-16","'912828WJ5'","NotesBonds",,,"2024-05-15",,,"2.5",,"7470000000",,"0.1131907451585864","0","738000000",
"2022-02-16","'912828XT2'","NotesBonds",,,"2024-05-31",,,"2",,"36086481600",,"0.4706382961508023","0","3167000000",
"2022-02-16","'91282CCG4'","NotesBonds",,,"2024-06-15",,,"0.25",,"12864133400",,"0.2031218330389416","0","12864133400",
"2022-02-16","'9128286Z8'","NotesBonds",,,"2024-06-30",,,"1.75",,"11283803100",,"0.2603264646344399","0","1877000000",
"2022-02-16","'912828XX3'","NotesBonds",,,"2024-06-30",,,"2",,"8010533800",,"0.2550837218149201","0","799000000",
"2022-02-16","'91282CCL3'","NotesBonds",,,"2024-07-15",,,"0.375",,"23356051900",,"0.3457694798432326","0","23356051900",
"2022-02-16","'912828Y87'","NotesBonds",,,"2024-07-31",,,"1.75",,"8821742500",,"0.2069500111779023","0","100000000",
"2022-02-16","'9128282N9'","NotesBonds",,,"2024-07-31",,,"2.125",,"8957889500",,"0.2903983019393325","0","2050000000",
